DATASET                                                                                ACTIVE           ROWS  DESCRIPTION
intersection-file-city-of-toronto                                                      yes            46,397  This data was collected for planning and mapping purposes and includes all intersections within the City of Toronto. This data set is limited to the City of ...
intimate-partner-and-family-violence                                                   yes           190,723  This data set includes all verified Intimate Partner Violence occurrences investigated by Toronto Police Service by reported date since 2014. The Intimate Pa...
inventory-of-applications                                                              yes               n/a  * Application Name * Application Description * Primary Application Business Capability * Secondary Application Business Capability * Other Application Busine...
king-st-transit-pilot-2015-king-street-traffic-counts                                  yes             5,952  The [King Street Transit Pilot](https://www.toronto.ca/city-government/planning-development/planning-studies-initiatives/king-street-pilot/) launched on Sund...
king-st-transit-pilot-bluetooth-travel-time-segments                                   yes               n/a  The [King Street Transit Pilot](https://www.toronto.ca/city-government/planning-development/planning-studies-initiatives/king-street-pilot/) launched on Sund...
king-st-transit-pilot-bluetooth-travel-time-summary                                    yes             1,822  The [King Street Transit Pilot](https://www.toronto.ca/city-government/planning-development/planning-studies-initiatives/king-street-pilot/) launched on Sund...
king-st-transit-pilot-detailed-bluetooth-travel-time                                   yes               n/a  The [King Street Transit Pilot](https://www.toronto.ca/city-government/planning-development/planning-studies-initiatives/king-street-pilot/) launched on Sund...
king-st-transit-pilot-detailed-traffic-pedestrian-volumes                              yes               n/a  The[ King Street Transit Pilot](https://www.toronto.ca/city-government/planning-development/planning-studies-initiatives/king-street-pilot/) launched on Sund...
king-st-transit-pilot-traffic-pedestrian-volumes-summary                               yes             6,956  The [King Street Transit Pilot](https://www.toronto.ca/city-government/planning-development/planning-studies-initiatives/king-street-pilot/) launched on Sund...
king-street-pilot-disaggregate-headway-and-travel-time                                 yes               n/a  - The King Street Transit Pilot launched on Sunday, November 12, 2017 between Bathurst Street and Jarvis Street. - The Pilot aimed to improve transit reliabi...
labour-force-survey                                                                    yes               n/a  Statistics Canada publishes monthly labour force statistics for all Canadian Census Metropolitan Areas (CMAs) and provinces. In addition, the City of Toronto...
land-ambulance-response-time-standard                                                  yes               n/a  The legislative response time standard submission timeline requirements are established by [Regulation 257/00 Part VIII](https://www.ontario.ca/laws/regulati...
library-branch-general-information                                                     yes               112  This dataset shows the current characteristics of Toronto Public Library branches, such as location, size, and the availability of specific features (e.g. pa...
library-branch-programs-and-events-feed                                                yes             8,512  JSON data providing details on upcoming programs and events offered at Toronto Public Library branches. It includes a description of the events, when and whe...
library-branch-space-rentals                                                           yes               162  This dataset lists Toronto Public Library spaces that are available for the public to rent including the size of the spaces and seating capacity. As well as ...
library-card-registrations                                                             yes             1,275  This dataset shows the annual library card registrations at Toronto Public Library branches. A registration is defined as an individual initially signing up ...
library-circulation                                                                    yes             1,337  This dataset shows the annual circulation of materials at Toronto Public Library branches. Circulation is defined as a combination of first-time checkouts (i...
library-circulation-by-cardholder-type                                                 yes               675  This dataset shows the annual circulation of materials by cardholder type at Toronto Public Library branches. Cardholder Type, is also known as the customer ...
library-visits                                                                         yes             1,233  This dataset shows the annual visits at Toronto Public Library branches. Visits are generally counted using sensors located at branch entrances and this acti...
library-workstation-usage                                                              yes             1,190  This dataset shows the annual computer workstation sessions at Toronto Public Library branches. This covers public workstations that can be booked in advance...
licensed-child-care-centres                                                            yes             1,088  A dataset of all Licensed Child Care Centres in the City of Toronto including their capacities by age group. Projection: Unprojected Lat Long, NAD27 datum <b...
licensed-dog-and-cat-names                                                             yes             2,167  This dataset contains the most popular names of licensed dogs and cats living in the City of Toronto.
licensed-dogs-and-cats                                                                 yes           221,301  The reports include data on licensed dogs and cats residing in Toronto after year 2023, including primary breed, Forward Sortation Area (FSA), and year of li...
licensed-dogs-and-cats-reports                                                         yes               n/a  See "Readme" file. The reports list the number of licensed dogs and cats residing in Toronto identified by primary breed and forward sortation area (FSA) whi...
light-duty-city-vehicle-utilization-data                                               yes             2,086  The Fleet Services Division provides and maintains the City's vehicles and equipment used in a wide range of daily operations. The utilization of City vehicl...
litter-bin-collection-frequency                                                        yes            10,469  There are more than 10,000 garbage/recycling street litter bins across the city and the frequency of collection varies based on the location and/or usage of ...
live-green-toronto-membership-card-businesses                                          yes               n/a  Please see "Readme" file. This dataset contains a list of the participating businesses, their locations and their special offers for Live Green Toronto Membe...
lobbying-bylaw-public-consultation-on-amendments                                       yes               n/a  At the September 21, 2015 meeting of Executive Committee, the City Manager submitted a report proposing amendments to the Lobbying Bylaw (Municipal Code, Cha...
lobbyist-registry                                                                      yes               n/a  See Lobbyist Registry Data Readme The Lobbyist Registrar's office promotes and enhances the transparency and integrity of city government decision making thr...
long-term-care-locations-city-operated                                                 yes                84  The data was obtained from the Long-Term Care Homes and Services Division in a list format. Data is used for business operation to support Long-Term Care sta...
long-term-financial-plan-public-consultation                                           yes               n/a  This data set contains input from the Long-Term Financial Plan consultation held by the City of Toronto. The purpose of posting this dataset is to create a r...
major-city-wide-cycling-routes                                                         yes               n/a  There are a number of significant corridors that cross Toronto from east to west and north to south, where high order cycling infrastructure has been install...
major-crime-indicators                                                                 yes           474,819  This dataset includes all Community Safety Indicators (CSI) occurrences by reported date. The Community Safety Indicators categories are Assault, Break and E...
marriage-licence-statistics                                                            yes               584  The dataset is created in support of the Marriage Act and the Vital Statistics Act, both of which are Provincial legislations. The dataset also supports the ...
mbncanada-performance-measures                                                         yes             2,984  Publicly reportable performance measures data from City of Toronto's participation in the annual Municipal Benchmarking Network Canada (MBNCanada) data call.
members-of-toronto-city-council-meeting-attendance                                     yes            96,204  This dataset includes the legislative meeting attendance data for Members of Toronto City Council Meeting Attendance. For official definitions and procedure ...
members-of-toronto-city-council-voting-record                                          yes           739,978  This dataset includes the Voting record for Members of Toronto City Council at legislative meetings that are supported but the City Clerk. For official defin...
mental-health-apprehensions                                                            yes           134,457  This dataset includes Mental Health Act Apprehensions from 2014. [Download Documentation](https://torontops.maps.arcgis.com/sharing/rest/content/items/c0b17f...
merged-gtfs-ttc-routes-and-schedules                                                   yes               n/a  Data contains scheduling information (route definitions, stop patterns, stop locations, and schedules) for all TTC transportation modes (subway, streetcars, ...
metadata-catalog                                                                       yes               102  List of the tags that the Toronto Open Data Portal will use to categorize and search its datasets
minister-approved-major-transit-station-areas                                          yes               n/a  Chapter 8 of Toronto’s Official Plan contains policies and delineations for Major Transit Station Areas and Protected Major Transit Station areas. The deline...
mobile-watch-your-speed-program-detailed-speed-counts                                  yes               n/a  The Mobile WYSP uses devices called speed display signs or driver feedback signs which contain a radar device and an LED display. These signs are installed a...
mobile-watch-your-speed-program-speed-summary                                          yes            13,918  The Mobile WYSP uses devices called speed display signs or driver feedback signs which contain a radar device and an LED display. These signs are installed a...
monthly-communicable-disease-surveillance-data                                         yes               n/a  The [Health Protection and Promotion Act](https://www.ontario.ca/laws/statute/90h07) (HPPA) outlines the communicable diseases that are designated reportable...
motor-vehicle-collisions-involving-killed-or-seriously-injured-persons                 yes            20,518  The City of Toronto’s Transportation Services Division receives collision data from the Toronto Police Service (TPS) for motor vehicle collisions that occur ...
multi-tenant-house-licences                                                            yes               406  All operators of multi-tenant houses across the City of Toronto are required to obtain a licence to operate. The following dataset includes all active and in...
multi-use-trail-entrances                                                              yes               n/a  This dataset contains the location information of entrances to multi-purpose trails in the City of Toronto.
multilingual-policy-language-survey                                                    yes               n/a  The City of Toronto conducted an online survey from February 22 to March 10, 2017, to seek input from residents and other members of the public to help deter...
municipal-land-transfer-tax-revenue-summary                                            yes               n/a  See "Municipal Land Transfer Tax Revenue Summary Readme" File City of Toronto revenues from the Municipal Land Transfer Tax per month beginning in year 2009....
municipal-licensing-and-standards-business-licence-renewals-and-new-issues-summary     yes               n/a  See "MLS Business Licence Renewals and New Issues Readme" File. Business licences (renewals and new licences) administered by the City per month beginning in...
municipal-licensing-and-standards-business-licences-and-permits                        yes           158,798  **Category -** Type of licence or permit **Licence No -** Number of licence issued by City of Toronto **Operating Name -** Name that company operates under *...
municipal-licensing-and-standards-investigation-activity                               yes               n/a  This dataset provides information related to by-law enforcement activity within the City of Toronto of the Municipal Licensing and Standards Division (ML&S)....
municipal-licensing-and-standards-toronto-animal-shelter-activity                      yes            65,713  Toronto Animal Services (TAS) operates three Animal Shelters, and cares for animals that are lost or surrendered by owners and animals that are available for...
natural-heritage-system                                                                yes               n/a  The natural heritage system is illustrated on Map 9A of the [Official Plan](https://www.toronto.ca/city-government/planning-development/official-plan-guideli...
neighbourhood-crime-rates                                                              yes               158  This dataset includes the Crime Data by Neighbourhood. Counts are available for Assault, Auto Theft, Break and Enter, Robbery, Theft Over, Homicide and Shoot...
neighbourhood-improvement-areas                                                        yes                33  Neighbourhood Improvement Areas are specially-selected and designated neighbourhoods in the City of Toronto found to have inequities on several indicators of...
neighbourhood-intensification-estimates-to-2051                                        yes               n/a  This dataset provides ward-level estimates for uptake of the Expanding Housing Options in Neighbourhoods initiatives to 2051, based off the Neighbourhood Int...
neighbourhood-profiles                                                                 yes             6,141  The Census of Population is held across Canada every 5 years and collects data about age and sex, families and households, language, immigration and internal...
neighbourhoods                                                                         yes               298  "Toronto’s 158 neighbourhoods are a microcosm of the city’s inhabitants, cultures and life. The primary purpose of the City-designated social planning neighb...
noise-exemption-permits                                                                yes             3,685  The Noise Bylaw provides standards for noise in Toronto. This includes decibel limits and time restrictions for some types of noise. Individuals and organiza...
non-competitive-contracts                                                              yes               n/a  **This data set is no longer maintained. You will find the new data [here](https://open.toronto.ca/dataset/tobids-non-competitive-contracts/).** The Non-Comp...
non-regulated-lead-sample                                                              yes            14,303  The City's Residential Lead Testing Program is a non-regulated program provided free of charge to residents concerned about the possibility of lead in their ...
off-leash-areas                                                                        yes                83  This data set, for each of the City of Toronto's off leash areas, provides location information and a select list of attributions that could be found at each...
on-street-permit-parking-area-maps                                                     yes                97  **FID -** System field **Feature Id Shape -** Feature Type (polygon) **Area_id -** Parking permit area identifier Permit parking areas within the City of Tor...
one-way-streets                                                                        yes               n/a  Linear representations of one way streets found within the City of Toronto.
ontario-early-years-centres-toronto                                                    yes               n/a  This data set is **retired**. A new data set replaces at:[Child & Family Programs](https://open.toronto.ca/dataset/child-family-programs)
open-data-intake                                                                       yes             2,251  This dataset displays the Open Data intake queue in its raw form. Data here contains attributes relating to how the Toronto Open Data team manages its variou...
open-data-web-analytics                                                                yes            71,313  This dataset measures usership of the City of Toronto [Open Data Portal](https://open.toronto.ca).
open-government-public-survey                                                          yes               n/a  The City of Toronto's Open Government Committee and senior staff promote an organizational culture of greater collaboration and openness. In 2015, the commit...
open-government-staff-survey                                                           yes               n/a  In January 2015, the City's Open Government Committee - senior staff who promote an organizational culture of greater collaboration and openness - organized ...
outbreaks-in-toronto-healthcare-institutions                                           yes             6,885  Under the Ontario [Health Protection and Promotion Act](https://www.ontario.ca/laws/statute/90h07) (HPPA), healthcare institutions (hospitals, long-term care...
outdoor-artificial-ice-rinks                                                           yes                69  This dataset includes data on outdoor Artificial Ice Rinks (AIR) and skate trails maintained by the City of Toronto Parks, Forestry and Recreation (PFR) divi...
pan-am-parapan-am-venues-to2015                                                        yes               n/a  This dataset depicts the venues being used for the Toronto 2015 Pan Am/Parapan Am Games. It includes competition venues, non-competition venues and training ...
paramedic-services-911-language-interpretation                                         yes               n/a  This dataset provides a list of instances when Toronto Paramedic Services' Emergency Medical Dispatchers utilized a designated language translation service d...
paramedic-services-incident-data                                                       yes               n/a  This dataset provides information relating to all incidents to which Toronto Paramedic Services responds, including the general incident type, priority and n...
park-and-recreation-facility-projects                                                  yes               259  A city builds parks and recreation facilities so its people can build community. Investing in the right parks and facilities at the right times and in the ri...
park-and-recreation-facility-study-areas                                               yes                20  Parks, Forestry and Recreation develops plans and strategies to help guide how we invest in parks and recreation facilities. These plans and strategies are i...
parking-lot-facilities                                                                 yes               n/a  This dataset includes data on parking lots operated by the City of Toronto PF&R Division. Parking lots are located in parks or on the building grounds of com...
parking-occupancy                                                                      yes               779  The Toronto Parking Authority (TPA) operates a portfolio of several City-owned off-street parking facilities. This data is the utilization data from these as...
parking-ticket-trials                                                                  yes               n/a  This dataset provides upcoming parking ticket trials. The order on the court docket is alpha numeric beginning with numbered companies. A new data set will b...
parking-tickets                                                                        yes               n/a  See Parking Ticket Data Readme file Approximately 2.8 million parking tickets are issued annually across the City of Toronto. This dataset contains non-ident...
parks                                                                                  yes               n/a  **This dataset is no longer accurate. Please see [Green Spaces](https://open.toronto.ca/dataset/green-spaces/) for the most accurate and up to date data.** T...
parks-and-recreation-facilities                                                        yes             1,790  This data set, for each of the City of Toronto's parks and community recreation centres, provides location information and a select list of twenty amenities ...
parks-drinking-fountains                                                               yes               798  This dataset includes data on drinking water sources (i.e. drinking fountains, bottle filling stations, dog fountains and combination units) operated by the ...
participatory-budgeting-pilot                                                          yes               n/a  Toronto's Participatory Budget Pilot (2015-2017) invited residents in Ward 33 and the neighbourhoods of Oakridge and Rustic to suggest community improvement ...
patrol-zones                                                                           yes                78  This dataset includes the Toronto Police Service patrol zone boundaries updated as of 2018. The first two digits of the patrol zone indicate the division tha...
pcard-expenditures                                                                     yes               n/a  See README file (PCard Expenditures Readme.xls) Council PCard expenses are not included in this report. Councillor expenses are disclosed separately through ...
pedestrian-network                                                                     yes            87,105  The Pedestrian Network (pednet) was created by the DAV team at the City of Toronto, and it is based on the sidewalk inventory from Transportation Services, T...
permanent-bicycle-counters                                                             yes         4,480,281  This dataset contains counts of bicycles from permanent detectors installed on Toronto streets and multi-use paths. The City uses the data to monitor trends ...
persons-in-crisis-calls-for-service-attended                                           yes           357,697  This dataset includes all Persons in Crisis (PIC) calls for service attended (CFSA) from 2014 which includes the following Event Types: Attempt Suicide, Pers...
places-of-interest-and-toronto-attractions                                             yes               178  This dataset contains a listing of attractions in Toronto including parks, landmarks, museums and more, curated by the Visitor Economy Office. The data provi...
places-of-worship                                                                      yes             1,407  Religious locations such as churches, synagogues, temples, ashrams, mosques, etc. This data set is a one off capture of places of worship as of 2006. There a...
police-annual-statistical-report-administrative                                        yes               358  This dataset provides a breakdown of administrative information. This data is compiled and provided by several units of the Toronto Police Service. Download ...
police-annual-statistical-report-arrested-and-charged-persons                          yes            32,000  This dataset provides an aggregate count of persons who have been arrested and charged. The data is aggregated by division, neighbourhood, sex, age, crime ca...
police-annual-statistical-report-calls-for-service-attended                            yes             5,399  This dataset provides a count of calls for service attended aggregated by division and neighbourhood. ### General Qualifiers - Does not include Parking, PRIM...
police-annual-statistical-report-complaint-dispositions                                yes               114  This dataset provides a breakdown of the total investigated complaints by disposition of the complaint submitted. ### General Qualifiers * Data pertains to e...
police-annual-statistical-report-dispatched-calls-by-division                          yes               152  This dataset provides a count of the dispatched calls by division, including some specific units such as PRIME, Parking and “Other”. This data includes the c...
police-annual-statistical-report-firearms-top-5-calibres                               yes               188  The dataset provides a list of the most common types of pistols, revolvers, rifles and shotguns that comprise the crime guns seized by the Toronto Police Ser...
police-annual-statistical-report-gross-expenditures-by-division                        yes               160  This dataset provides a breakdown of the Gross Expenditures for each division. This data includes the command level at the time of reporting.
police-annual-statistical-report-gross-operating-budget                                yes               129  This dataset provides the Gross Operating Budget incurred by the Toronto Police Service. The Gross Operating Budget refers to the expected expenses for the y...
police-annual-statistical-report-homicide                                              yes             1,531  This dataset includes all Homicides since 2004. Divisional association to each homicide is based on current Police Divisional Boundary. Divisional Boundary c...
police-annual-statistical-report-investigated-alleged-misconduct                       yes                97  This dataset provides a breakdown of the total investigated complaints by type of complaint submitted. ### General Qualifiers - Data pertains to external pub...
police-annual-statistical-report-miscellaneous-calls-for-service                       yes               269  This dataset includes the following categories of data: Languages, Calls Received, and Alarm Calls ### General Qualifiers - Numbers provided represent calls ...
police-annual-statistical-report-miscellaneous-data                                    yes                40  The Toronto’s Police Service Annual Statistical Report (ASR) is a comprehensive overview of police related statistics including reported crimes, victims of c...
police-annual-statistical-report-miscellaneous-firearms                                yes               500  **Firearm Type** Breakdown of firearm type for every firearm that was seized by the TPS **Crime Guns** A crime gun is “any firearm that has been or suspected...
police-annual-statistical-report-personnel-by-command                                  yes                64  This dataset provides a count of personnel broken down by command level.
police-annual-statistical-report-personnel-by-rank                                     yes               228  This dataset provides a count of personnel broken down by rank classification for Uniform, Civilian, and Other Staff. ### General Qualifiers Does not include...
police-annual-statistical-report-personnel-by-rank-by-division                         yes             1,426  This dataset provides a count of personnel broken down by rank classification for Uniform & Civilian staff by division. This data includes the command level ...
police-annual-statistical-report-regulated-interactions                                yes               110  The data provided count describes situations involving regulated interactions. Download the [ASR Documentation](https://data.torontopolice.on.ca/documents/To...
police-annual-statistical-report-regulated-interactions-demographics                   yes               106  The Toronto’s Police Service Annual Statistical Report (ASR) is a comprehensive overview of police related statistics including reported crimes, victims of c...
police-annual-statistical-report-reported-crimes                                       yes            32,000  This dataset includes all reported crime offences by reported date aggregated by division. This data includes all crimes reported to the Toronto Police Servi...
police-annual-statistical-report-search-of-persons                                     yes               197  This dataset includes all Level 3 and Level 4 searches that were conducted. In accordance with the Municipal Freedom of Information and Protection of Privacy...
police-annual-statistical-report-shooting-occurrences                                  yes                96  The Toronto’s Police Service Annual Statistical Report (ASR) is a comprehensive overview of police related statistics including reported crimes, victims of c...
police-annual-statistical-report-tickets-issued                                        yes            31,643  This dataset provides an aggregated count of tickets issued by year, ticket type, offence, age group, division, and neighbourhood. ### General Qualifiers * F...
police-annual-statistical-report-top-20-offences-of-firearms-seizures                  yes               223  This dataset provides a list of top 20 offences ranked by volume, for occurrences linked to a firearm seizure. ### General Qualifiers * Data is extracted fro...
police-annual-statistical-report-total-public-complaints                               yes               138  This dataset provides a breakdown of the total number of public complaints from the Law Enforcement Complaints Agency (L.E.C.A.) broken down by complaints th...
police-annual-statistical-report-traffic-collisions                                    yes           809,034  This dataset includes all Motor Vehicle Collision (MVC) occurrences by their occurrence date and related offences. The MVC categories include property damage...
police-annual-statistical-report-victims-of-crime                                      yes             1,244  This dataset includes all identified victims of crimes against the person, including, but not limited to, those that may have been deemed unfounded after inv...
police-boundaries                                                                      yes                16  Data shows which geographical areas in the City are associated to each Toronto Police Division.
police-facility-locations                                                              yes                26  A geographical point shape file that depicts the police facility locations.
police-race-and-identity-based-data-collection-arrests-strip-searches                  yes            32,000  This dataset includes information related to all arrests and strip searches. A strip search refers to a search conducted by a police officer on a person, whi...
police-race-and-identity-based-data-use-of-force                                       yes               896  This dataset contains summary table data of information from the provincial Use of Force Reports and occurrences that resulted in an enforcement action. The ...
pollinateto-primary-project-garden-locations                                           yes               219  This dataset contains information on the locations of primary gardens for PollinateTO Grant recipients. Garden types, features of locations, and names of pro...
polls-conducted-by-the-city                                                            yes             1,428  The City Clerk's Office is responsible for conducting polls on behalf of City divisions. Polls are conducted to establish the opinions of residents and busin...
poverty-reduction-strategy-consultation-qualitative-input                              yes               n/a  One in four families in Toronto does not have the income necessary to live a healthy life and participate fully in their community. Inequality can be based o...
pre-hospital-emergency-care-performance-metrics                                        yes               n/a  For the years 2014 to 2020 inclusive, this dataset provides the number of emergency calls (unique incidents) to which Toronto Paramedic Services (TPS) respon...
preliminary-zoning-reviews                                                             yes           220,020  This data considers 4 different programs supported by Toronto Building: Business Licenses, Liquor Licenses, Zoning use, Zoning Certificates, and preliminary ...
presto-card-access                                                                     yes               106  This map showcases where you can get a physical PRESTO Card in the City of Toronto. There are two types of locations listed here: 1. Where you pay - Retail l...
priority-investment-neighbourhoods                                                     yes               n/a  The 13 Priority Investment Neighbourhoods are composed of neighbourhoods, neighbourhood areas (two or more joined neighbourhoods) and one special area (Kings...
private-transportation-companies-summary-and-trip-data                                 yes            11,111  The City of Toronto collects trip and vehicle operating data from Private Transportation Companies (PTCs). This page contains two datasets: * Summary Data * ...
private-transportation-companies-vehicle-operating-data                                yes             9,003  The City of Toronto collects trip and vehicle operating data from Private Transportation Companies (PTCs). This page contains data on the operations of PTC v...
proclamations                                                                          yes               895  Proclamations are used for public awareness campaigns, charitable fundraising campaigns, arts and cultural celebrations and special honours on the recommenda...
procurement-pipeline                                                                   yes               n/a  A capital project is the full scope of City-led work undertaken to create, acquire, improve, refurbish, or extend the life of tangible assets, including land...
properties-requiring-a-cultural-heritage-evaluation-report-under-opa-720               yes               272  The following dataset includes properties that have been identified by City Council through a City-led study as having potential cultural heritage value or i...
property-boundaries                                                                    yes           498,499  This data is a GIS file that outlines the geographical area of all properties in the City of Toronto. While every attempt is made to keep this dataset up to ...
public-art                                                                             yes               459  This map shows over 400 works of public art throughout the City of Toronto. The inventory is a record of public art from two City programs: the [Public Art &...
public-art-and-monuments                                                               yes               n/a  **This dataset is expired and will no longer be updated. It has been replaced by [Public Art](https://open.toronto.ca/dataset/public-art/)** The dataset prov...
public-consultation-on-governance-and-decision-making-survey-1                         yes               n/a  The Special Committee on Governance was established by City Council at its meeting on December 4, 2018, to consider the impacts on the City's governance stru...
public-consultations-on-civic-governance-and-decision-making                           yes               n/a  The Special Committee on Governance was established by City Council at its meeting on December 4, 2018, to consider the impacts on City's governance structur...
public-engagement-review-survey                                                        yes               n/a  The City of Toronto is reviewing its public engagement activities to support more meaningful and inclusive opportunities for Torontonians to provide input in...
public-notices                                                                         yes               n/a  The Public Notice website contains open source data related to notices published by the City Clerk as of January 1, 2018. This dataset is part of the City of...
rain-gauge-locations-and-precipitation                                                 yes               n/a  This dataset contains the locations of all rain gauge equipment across the city of Toronto as well as the precipitation measured. The City's rain gauge netwo...
rain-gauge-locations-and-water-collected                                               yes               n/a  Location of Toronto water rain gauge equipment and water accumulation collected during July 8, 2013 storm. A point file of the location of the Toronto Water ...
ravine-natural-feature-protection-area                                                 yes               n/a  Ravine & Natural Feature Protection area and limit as regulated by City of Toronto Municipal Code Chapter 658 - Ravine & Natural Feature Protection. **Please...
real-estate-asset-inventory                                                            yes            24,106  This dataset contains the City of Toronto's real estate asset portfolio
realtime-feed-of-searches-conducted-on-torontopubliclibrary-ca                         yes               n/a  **This dataset has been retired as this feed is no longer operational.** Websocket connection open to third parties providing a near realtime feed of searche...
recreational-courses-historical-data                                                   yes               n/a  This dataset includes data on courses of recreational programs offered by the City of Toronto. There are various courses with certain number of classes runni...
recreational-drop-in-programs                                                          yes               n/a  **This dataset is retired and will no longer be updated. Please see [Registered Programs and Drop In Courses Offering](https://open.toronto.ca/dataset/regist...
red-light-camera-annual-charges                                                        yes               n/a  This dataset contains the annual number of Red Light Camera tickets issued at all locations in Toronto from 2007 to present
red-light-cameras                                                                      yes               301  Red Light Camera (RLC) is an automated system which photographs vehicles that run red lights. Generally, the camera is triggered when a vehicle enters the in...
reducing-single-use-and-takeaway-items                                                 yes               n/a  **Phase 1 Consultation** This dataset includes responses from this public survey. The Online Survey was available from September 20, 2018 to October 28, 2018...
regional-municipal-boundary                                                            yes               n/a  **Field Name -** Description/Definition **AREA_ID -** Internal geographic identifier **AREA_NAME -** Name of the former municipality **OBJECTID -** Internal ...
registered-programs-and-drop-in-courses-offering                                       yes            69,342  City of Toronto has a multitude of exciting programs for all ages. Whether public is looking for swimming, fitness, skating, skiing, arts and crafts or dance...
registered-residential-non-residential-condominiums                                    yes               n/a  This bulletin reports on Toronto’s condominium development trends since 2002 including units built and proposed through development applications. The dataset...
registry-of-declared-interest                                                          yes             1,577  Effective March 1, 2019, the [Municipal Conflict of Interest Act](https://www.ontario.ca/laws/statute/90m50), requires municipalities to make a registry of d...
renewable-energy-installations                                                         yes               100  This dataset contains City of Toronto renewable energy installations on City-owned buildings. This includes the locations of currently installed renewable en...
rent-bank-access-centres                                                               yes               n/a  Point file of locations of Rent Bank Access Centres within the City of Toronto There are no access and use limitations for this item
report-request-log-city-council-and-its-committees                                     yes               n/a  The City Clerk's Office maintains a log of report requests made by City Council and its committees. The log is intended for reference and convenience purpose...
residential-fire-inspection-results                                                    yes           124,414  Indicates properties where violations have been found by an Inspector which are required to be fixed for compliance at the time with the Ontario Fire Code as...
residential-front-yard-parking                                                         yes            17,931  **Address -** Number and street **Licensed Spaces -** Number of parking spots **Parking Type -** Type of Permit e.g. Front-Yard Parking, Widened Driveway etc...
residential-health-hazards                                                             yes               641  Snapshot of the information to the public concerning the Toronto Public Health’s Health Hazard investigations. The data set is as current as the date of the ...
retirement-homes                                                                       yes                57  ID - used for labels on maps NAME - name of location ADDRESS - address of location PCODE - full postal code of location CAPACITY - bed capacity of location S...
revenues-and-expenses                                                                  yes               n/a  Through the Financial Information Return, the Ministry collects data on municipal financial position and activities, such as assets, liabilities, revenue, ex...
road-reconstruction-program                                                            yes               325  This dataset includes 2 categories of road reconstruction: Road rehabilitation is the replacement of partial road pavement structure or entire road pavement ...
road-restrictions                                                                      yes               n/a  * **New** Feed Enhancements - August 2022 * **The new road restrictions feed is available with links listed as Version 3.** * **We will be retiring Versions ...
road-resurfacing-program                                                               yes             1,478  This data shows the currently active, planned, or completed road resurfacing projects. Road resurfacing consists of the replacement of old asphalt surface wi...
safety-zone-watch-your-speed-program-monthly-summary                                   yes            50,950  The WYSP uses devices called speed display signs or driver feedback signs which contain a radar device and an LED display. These signs are installed against ...
school-locations-all-types                                                             yes             1,173  A geographical file covering the City of Toronto that contains all the point location of schools that we have. It also contains the private schools to the be...
school-safety-zone-watch-your-speed-program-detailed-speed-counts                      yes               n/a  The WYSP uses devices called speed display signs or driver feedback signs which contain a radar device and an LED display. These signs are installed on a ded...
school-safety-zone-watch-your-speed-program-locations                                  yes             1,212  The WYSP uses devices called speed display signs or driver feedback signs which contain a radar device and an LED display. These signs are installed on a ded...
secondary-plans                                                                        yes                55  Secondary Plans are more detailed local development policies to guide growth and change in a defined area of the City.
section-37                                                                             yes             1,435  The legacy Section 37 density bonusing framework in the Planning Act, 1990 enabled the City to negotiate contributions towards local community benefits for d...
seniors-survey-2017                                                                    yes               n/a  Convenience survey conducted in 2017 as part of the City's Seniors' Strategy, to identify various needs of Toronto's seniors' population, in order to better ...
sewer-gravity-mains                                                                    yes           169,242  This dataset provides pertinent information on the location of gravity sewer system pipes (main and trunk), their characteristics (e.g. pipe diameter, cross ...
sewer-inlets                                                                           yes           173,707  This dataset provides pertinent information on the general location of sewer system inlets (mostly catchbasins and ditch inlets). The data is updated on a co...
sewer-junctions                                                                        yes             9,005  This dataset provides pertinent information on the general location of sewer system junctions connections, as well as classification by flow medium. The data...
sewer-manholes                                                                         yes           160,326  This dataset provides pertinent information on the general location of sewer system maintenance holes and the classification by flow medium in the connected ...
sewer-outfalls                                                                         yes             1,916  This dataset provides pertinent information on the general location of sewer system outfalls and the classification by flow medium. The data is updated on a ...
sewer-pressurized-mains                                                                yes               308  This dataset provides pertinent information on the general location of pressurized sewer system pipes (main and trunk), their characteristics (e.g. pipe diam...
sexual-health-clinic-locations-hours-and-services                                      yes               n/a  Clinic Name - Name of the clinic Clinic Location - Rough location of the clinic Address - Street address Contact Number - Phone number of contact Operational...
shelter-profile-information                                                            yes               n/a  * **SHELTER AND SECTOR -** Shelter names grouped by sector (shelter type) * **WARD LOCATION -** Number of ward in which shelter is located * **COMMUNITY COUN...
shootings-firearm-discharges                                                           yes             6,829  This dataset contains all shooting-related occurrences reported to the Toronto Police Service since 2004, including, but not limited to, those that may have ...
short-term-rental-program-data                                                         yes               768  In Toronto, short-term rentals are regulated by the Toronto Municipal Code Chapter 547, Licensing and Registration of [Short-Term Rentals](https://www.toront...
short-term-rentals-registration                                                        yes             8,497  The short-term rental regulation is based on Toronto Municipal Code Chapter 547, Licensing and Registration of [Short-Term Rentals](https://www.toronto.ca/co...
sidewalk-construction-program                                                          yes                99  The City of Toronto's Missing Sidewalk Installation Program Dataset illustrates the locations and details of planned sidewalks scheduled for construction in ...
sidewalk-inventory                                                                     yes               n/a  The sidewalk inventory provides information on the location of sidewalks along all transportation corridors within the City of Toronto limits. City centrelin...
sign-bylaw-districts                                                                   yes             6,626  The data layer shows the sign district designations of all properties in the City of Toronto - the sign bylaw regulations/permissions/restrictions that are a...
